Source,Year,Date,Age,Age_Range,Gender,Nationality,Cause_of_Death,Latitude,Longitude,County,State
San Diego County Office of the,2002.0,2/8/2002,30.0,26-35,M,Mexico,Stab wounds of torso,32.53902632,-117.0767902,,
San Diego County Office of the,2002.0,2/26/2002,,Unknown,M,Mexico,Undetermined,32.59255506,-116.8404772,,
San Diego County Office of the,2002.0,6/5/2002,21.0,18-25,M,Lebanon,Undetermined,32.63257303,-117.0834873,,
San Diego County Office of the,2002.0,6/7/2002,,Unknown,M,,Undetermined,32.65247702,-116.266553,,
San Diego County Office of the,2002.0,6/7/2002,31.0,26-35,F,Mexico,Probable environmental hyperthermia,32.68274205,-116.3132509,,
San Diego County Office of the,2002.0,7/10/2002,32.0,26-35,M,Mexico,Environmental hyperthermia,32.63000539,-116.7654259,,
San Diego County Office of the,2002.0,7/25/2002,21.0,18-25,M,Brazil,Probable environmental hyperthermia,32.61996114,-116.2100526,,
San Diego County Office of the,2002.0,8/1/2002,,Unknown,F,Mexico,Dehydration due to: Environmental exposure,32.62489389,-116.2974505,,
San Diego County Office of the,2002.0,8/9/2002,41.0,36-45,F,Mexico,Probable environmental hyperthermia,32.6389633,-116.2750186,,
San Diego County Office of the,2002.0,8/10/2002,42.0,36-45,F,Mexico,Probable hyperthermia,32.61674111,-116.148743,,
San Diego County Office of the,2002.0,8/19/2002,25.0,18-25,M,Mexico,Probable environmental hyperthermia,32.65458113,-116.2126213,,
San Diego County Office of the,2002.0,9/1/2002,,Unknown,M,Mexico,Undetermined,32.68176964,-116.459338,,
San Diego County Office of the,2002.0,9/2/2002,37.0,36-45,M,Mexico,Hepatic cirrhosis and probable environmental hyperthermia,32.5679089,-116.9639797,,
San Diego County Office of the,2002.0,9/13/2002,20.0,18-25,M,Mexico,Probable environmental hyperthermia,32.70225103,-116.6422366,,
San Diego County Office of the,2002.0,9/24/2002,,Unknown,M,Mexico,Probable environmental hyperthermia,32.6560356,-116.7436966,,
San Diego County Office of the,2002.0,10/27/2002,,Unknown,M,Mexico,Undetermined cause of death due to: Skeletonized remains,32.69892849,-116.2540546,,
San Diego County Office of the,2002.0,12/14/2002,47.0,46-55,M,,Blunt impact injuries of head,32.66429115,-115.508102,,
San Diego County Office of the,2003.0,1/9/2003,59.0,56 and older,F,Mexico,Multiple blunt force injuries,32.8267035,-116.6253649,,
San Diego County Office of the,2003.0,1/9/2003,17.0,0-17,F,Mexico,Blunt force head injuries,32.82792961,-116.6246353,,
San Diego County Office of the,2003.0,1/15/2003,26.0,26-35,F,Mexico,Complications of multiple blunt force injuries,32.8261265,-116.6238199,,
San Diego County Office of the,2003.0,3/9/2003,46.0,46-55,M,Mexico,Blunt impact injuries of head and torso,32.85156084,-116.8695912,,
San Diego County Office of the,2003.0,3/9/2003,44.0,36-45,M,Mexico,Blunt impact injuries of head and torso,32.85146084,-116.8695112,,
San Diego County Office of the,2003.0,3/11/2003,26.0,26-35,M,Mexico,Probable drowning,32.5525987,-117.0751538,,
San Diego County Office of the,2003.0,5/13/2003,,Unknown,M,Mexico,Undetermined (decomposed remains),32.59288708,-116.6092703,,
San Diego County Office of the,2003.0,5/19/2003,26.0,26-35,F,Mexico,Multiple blunt force injuries,32.9525928,-116.3234066,,
San Diego County Office of the,2003.0,6/3/2003,,Unknown,M,Mexico,Environmental hyperthermia,32.61299711,-116.4426212,,
San Diego County Office of the,2003.0,6/4/2003,26.0,26-35,M,Mexico,Environmental hyperthermia,32.59955056,-116.8010456,,
San Diego County Office of the,2003.0,6/6/2003,33.0,26-35,M,Mexico,Probable environmental hyperthermia,32.64134683,-116.2702989,,
San Diego County Office of the,2003.0,6/18/2003,,Unknown,M,,Undetermined (skeletonized remains),32.80352651,-116.2079516,,
San Diego County Office of the,2003.0,7/2/2003,22.0,18-25,M,Mexico,Hyperthermia due to: Environmental exposure,32.64829845,-116.5369072,,
San Diego County Office of the,2003.0,7/9/2003,41.0,36-45,M,Mexico,Hyperthermia due to: Environmental exposure,32.6210479,-116.2054064,,
San Diego County Office of the,2003.0,7/16/2003,,Unknown,F,Mexico,Hyperthermia due to environmental exposure,32.6188569,-116.145265,,
San Diego County Office of the,2003.0,7/28/2003,46.0,46-55,M,Mexico,Blunt force head injuries,32.61786148,-116.9091075,,
San Diego County Office of the,2003.0,8/6/2003,40.0,36-45,M,Mexico,Gunshot wounds of chest and pelvis,32.54337301,-117.0400041,,
San Diego County Office of the,2003.0,8/10/2003,46.0,46-55,M,Mexico,Hyperthermia due to: Environmental exposure,"32.63366522822624,",-116.1455306,,
San Diego County Office of the,2003.0,8/18/2003,32.0,26-35,M,Mexico,Hyperthermia due to: Environmental exposure,32.58454263,-116.9486826,,
San Diego County Office of the,2003.0,8/19/2003,23.0,18-25,F,Mexico,Hyperthermia due to: Environmental exposure,32.66,-116.30405,,
San Diego County Office of the,2003.0,9/10/2003,28.0,26-35,M,Mexico,Adult male mummified and focally skeletonized remains without evidence of antemortem trauma,33.36997961,-116.0904365,,
San Diego County Office of the,2003.0,9/16/2003,35.0,26-35,M,Mexico,Undetermined (skeletal remains),32.62058662,-116.2782709,,
San Diego County Office of the,2003.0,10/30/2003,50.0,46-55,F,Mexico,Multiple blunt force injuries,32.63476841,-116.3593349,,
San Diego County Office of the,2003.0,11/24/2003,33.0,26-35,M,Mexico,Environmental hypothermia and dehydration,32.57136,-116.70619,,
San Diego County Office of the,2003.0,12/8/2003,44.0,36-45,F,Mexico,Multiple traumatic injuries,32.63488047,-116.1576522,,
San Diego County Office of the,2003.0,12/19/2003,34.0,26-35,M,Mexico,Undetermined (skeletal remains),"32.807932802994706,",-116.5311845,,
San Diego County Office of the,2003.0,12/25/2003,41.0,36-45,M,Mexico,Drowning and hypothermia due to: Acute alcohol intoxication,32.537061,-117.1245171,,
San Diego County Office of the,2004.0,1/24/2004,28.0,26-35,M,Mexico,Complications of hypothermia,32.8201,-116.41645,,
San Diego County Office of the,2004.0,1/24/2004,,Unknown,M,Mexico,Complications of hypothermia,32.864306,-116.401975,,
San Diego County Office of the,2004.0,2/2/2004,25.0,18-25,F,Mexico,Blunt impact injuries of head,32.84571031,-116.8768497,,
San Diego County Office of the,2004.0,2/6/2004,,Unknown,M,Mexico,Multiple cerebral infarcts,32.64303219,-116.2690519,,
San Diego County Office of the,2004.0,2/17/2004,,Unknown,M,Mexico,Undetermined (decomposed and skeletonized remains),32.62862365,-116.7922769,,
San Diego County Office of the,2004.0,3/14/2004,26.0,26-35,M,Mexico,Hyperthermia due to: Environmental exposure,32.63691266,-116.6985421,,
San Diego County Office of the,2004.0,3/17/2004,38.0,36-45,F,Mexico,Asphyxiation due to: Mechanical compression,33.3800493,-117.214637,,
San Diego County Office of the,2004.0,4/19/2004,18.0,18-25,M,Mexico,Drowning,32.53803415,-117.1257124,,
San Diego County Office of the,2004.0,5/11/2004,,Unknown,M,Mexico,Undetermined (partial skeletal remains),32.64766,-116.28468,,
San Diego County Office of the,2004.0,6/4/2004,22.0,18-25,M,Mexico,Undetermined,32.819028,-116.466667,,
